,Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped,
101,9 ,Reece Topley  ,7500000,7500000,Capped, 
102,10 ,Robin Minz,3000000,6500000,Uncapped, 
103,11 ,Karn Sharma,5000000,5000000,Uncapped, 
104,12 ,Vignesh Puthur,3000000,3000000,Uncapped, 
105,13 ,Arjun  Tendulkar,3000000,3000000,Uncapped, 
106,14 ,Bevan John Jacobs  ,3000000,3000000,Uncapped, 
107,15 ,Venkata Satyanarayana Penmetsa,3000000,3000000,Uncapped, 
108,16 ,Raj Angad Bawa,3000000,3000000,Uncapped, 
109,17 ,Shrijith Krishnan,3000000,3000000,Uncapped, 
110,18 ,Ashwani Kumar,3000000,3000000,Uncapped, 
111,1 ,Shreyas Iyer,20000000,267500000,Capped, 
112,2 ,Yuzvendra Chahal,20000000,180000000,Capped, 
113,3 ,Arshdeep Singh,20000000,180000000,Capped,   
114,4 ,Marcus Stoinis  ,20000000,110000000,Capped, 
115,5 ,Marco Jansen  ,12500000,70000000,Capped, 
116,6 ,Nehal Wadhera,3000000,42000000,Uncapped, 
117,7 ,Glenn Maxwell  ,20000000,42000000,Capped, 
118,8 ,Priyansh Arya,3000000,38000000,Uncapped, 
119,9 ,Josh Inglis  ,20000000,26000000,Capped, 
120,10 ,Azmatullah Omarzai  ,15000000,24000000,Capped, 
121,11 ,Lockie Ferguson  ,20000000,20000000,Capped, 
122,12 ,Vyshak Vijaykumar,3000000,18000000,Uncapped, 
123,13 ,Yash Thakur,3000000,16000000,Uncapped, 
124,14 ,Harpreet  Brar,3000000,15000000,Uncapped, 
125,15 ,Aaron Hardie  ,12500000,12500000,Capped, 
126,16 ,Vishnu Vinod,3000000,9500000,Uncapped, 
127,17 ,Xavier Bartlett  ,7500000,8000000,Capped, 
128,18 ,Kuldeep  Sen,7500000,8000000,Capped, 
129,19 ,Pravin Dubey,3000000,3000000,Uncapped, 
130,20 ,Pyla Avinash,3000000,3000000,Uncapped, 
131,21 ,Suryansh  Shedge ,3000000,3000000,Uncapped, 
132,22 ,Musheer Khan,3000000,3000000,Uncapped, 
133,23 ,Harnoor Pannu,3000000,3000000,Uncapped, 
134,1 ,Jofra Archer  ,20000000,125000000,Capped, 
135,2 ,Tushar Deshpande,10000000,65000000,Capped, 
136,3 ,Wanindu Hasaranga  ,20000000,52500000,Capped, 
137,4 ,Maheesh Theekshana  ,20000000,44000000,Capped, 
138,5 ,Nitish Rana,15000000,42000000,Capped, 
139,6 ,Fazalhaq Farooqi  ,20000000,20000000,Capped, 
140,7 ,Kwena Maphaka  ,7500000,15000000,Capped, 
141,8 ,Akash Madhwal,3000000,12000000,Uncapped, 
142,9 ,Vaibhav Suryavanshi,3000000,11000000,Uncapped, 
143,10 ,Shubham Dubey,3000000,8000000,Uncapped, 
144,11 ,Yudhvir Charak,3000000,3500000,Uncapped, 
145,12 ,Ashok Sharma,3000000,3000000,Uncapped, 
146,13 ,Kunal Rathore,3000000,3000000,Uncapped, 
